path,class
../../data/COVID-19_Radiography_Dataset/Covid/COVID-3052.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-3409.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-4981.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-4998.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-3178.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-3742.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-1610.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-2117.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1266.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-8089.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-962.png,Normal
../../data/COVID-19_Radiography_Dataset/ViralPneumonia/Viral Pneumonia-1162.png,ViralPneumonia
../../data/COVID-19_Radiography_Dataset/Normal/Normal-10120.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-1071.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-4637.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-2348.png,Normal
../../data/COVID-19_Radiography_Dataset/ViralPneumonia/Viral Pneumonia-749.png,ViralPneumonia
../../data/COVID-19_Radiography_Dataset/Normal/Normal-185.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1497.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-7741.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-7387.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-8826.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1058.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-823.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-2763.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-674.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-3944.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1404.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-5909.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-9816.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-5776.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-6348.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1464.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-5144.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-1233.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-2872.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-4361.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-8773.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-2049.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1232.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1469.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-3042.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-3119.png,Covid
../../data/COVID-19_Radiography_Dataset/Covid/COVID-1707.png,Covid
../../data/COVID-19_Radiography_Dataset/Covid/COVID-2687.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-9428.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-530.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-8455.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-5021.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-1123.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-8460.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-4528.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-5329.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-4077.png,Normal
../../data/COVID-19_Radiography_Dataset/ViralPneumonia/Viral Pneumonia-652.png,ViralPneumonia
../../data/COVID-19_Radiography_Dataset/ViralPneumonia/Viral Pneumonia-415.png,ViralPneumonia
../../data/COVID-19_Radiography_Dataset/ViralPneumonia/Viral Pneumonia-96.png,ViralPneumonia
../../data/COVID-19_Radiography_Dataset/Covid/COVID-2782.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-506.png,Normal
../../data/COVID-19_Radiography_Dataset/Covid/COVID-3011.png,Covid
../../data/COVID-19_Radiography_Dataset/Covid/COVID-2441.png,Covid
../../data/COVID-19_Radiography_Dataset/Normal/Normal-7768.png,Normal
../../data/COVID-19_Radiography_Dataset/Normal/Normal-1869.png,Normal
../../data/COVID-19_Radiography_Dataset/ViralPneumonia/Viral Pneumonia-669.png,ViralPneumonia
